OBJ: TObjArray	TObjArray	An array of objects : 0
 OBJ: TBranch	Muon_miniIsoId	MiniIso ID from miniAOD selector (1=MiniIsoLoose, 2=MiniIsoMedium, 3=MiniIsoTight, 4=MiniIsoVeryTight) : 0 at: 0x63a96b0
 OBJ: TBranch	Muon_multiIsoId	MultiIsoId from miniAOD selector (1=MultiIsoLoose, 2=MultiIsoMedium) : 0 at: 0x63ad310
 OBJ: TBranch	Muon_mvaId	Mva ID from miniAOD selector (1=MvaLoose, 2=MvaMedium, 3=MvaTight) : 0 at: 0x63b0f90
 OBJ: TBranch	Muon_pfIsoId	PFIso ID from miniAOD selector (1=PFIsoVeryLoose, 2=PFIsoLoose, 3=PFIsoMedium, 4=PFIsoTight, 5=PFIsoVeryTight, 6=PFIsoVeryVeryTight) : 0 at: 0x63b4bd0
 OBJ: TBranch	Muon_softId	soft cut-based ID : 0 at: 0x63b8850
 OBJ: TBranch	Muon_softMvaId	soft MVA ID : 0 at: 0x63bc460
 OBJ: TBranch	Muon_tightId	cut-based ID, tight WP : 0 at: 0x63c0040
 OBJ: TBranch	Muon_tkIsoId	TkIso ID (1=TkIsoLoose, 2=TkIsoTight) : 0 at: 0x63c3c50
 OBJ: TBranch	Muon_triggerIdLoose	TriggerIdLoose ID : 0 at: 0x63c7870
 OBJ: TBranch	nPhoton	slimmedPhotons after basic selection (pt > 5 ) : 0 at: 0x63cb4e0
 OBJ: TBranch	Photon_eCorr	ratio of the calibrated energy/miniaod energy : 0 at: 0x63cd540
 OBJ: TBranch	Photon_energyErr	energy error of the cluster from regression : 0 at: 0x63d1180
 OBJ: TBranch	Photon_eta	eta : 0 at: 0x63d4e20
 OBJ: TBranch	Photon_hoe	H over E : 0 at: 0x63d8a20
 OBJ: TBranch	Photon_mass	mass : 0 at: 0x63dc620
 OBJ: TBranch	Photon_mvaID	MVA ID score, Fall17V2 : 0 at: 0x63e0220
 OBJ: TBranch	Photon_mvaID_Fall17V1p1	MVA ID score, Fall17V1p1 : 0 at: 0x63e3e50
 OBJ: TBranch	Photon_pfRelIso03_all	PF relative isolation dR=0.3, total (with rho*EA PU corrections) : 0 at: 0x63e7af0
 OBJ: TBranch	Photon_pfRelIso03_chg	PF relative isolation dR=0.3, charged component (with rho*EA PU corrections) : 0 at: 0x63eb7b0
 OBJ: TBranch	Photon_phi	phi : 0 at: 0x63ef470
 OBJ: TBranch	Photon_pt	p_{T} : 0 at: 0x63f3070
 OBJ: TBranch	Photon_r9	R9 of the supercluster, calculated with full 5x5 region : 0 at: 0x63f6c70
 OBJ: TBranch	Photon_sieie	sigma_IetaIeta of the supercluster, calculated with full 5x5 region : 0 at: 0x63fa8c0
 OBJ: TBranch	Photon_charge	electric charge : 0 at: 0x63fe520
 OBJ: TBranch	Photon_cutBased	cut-based ID bitmap, Fall17V2, (0:fail, 1:loose, 2:medium, 3:tight) : 0 at: 0x6402140
 OBJ: TBranch	Photon_cutBased_Fall17V1Bitmap	cut-based ID bitmap, Fall17V1, 2^(0:loose, 1:medium, 2:tight). : 0 at: 0x6405de0
 OBJ: TBranch	Photon_electronIdx	index of the associated electron (-1 if none) : 0 at: 0x6409aa0
 OBJ: TBranch	Photon_jetIdx	index of the associated jet (-1 if none) : 0 at: 0x640d740
 OBJ: TBranch	Photon_pdgId	PDG code assigned by the event reconstruction (not by MC truth) : 0 at: 0x6411380
 OBJ: TBranch	Photon_vidNestedWPBitmap	Fall17V2 VID compressed bitmap (MinPtCut,PhoSCEtaMultiRangeCut,PhoSingleTowerHadOverEmCut,PhoFull5x5SigmaIEtaIEtaCut,PhoAnyPFIsoWithEACut,PhoAnyPFIsoWithEAAndQuadScalingCut,PhoAnyPFIsoWithEACut), 2 bits per cut : 0 at: 0x6414fd0
 OBJ: TBranch	Photon_electronVeto	pass electron veto : 0 at: 0x6418d30
 OBJ: TBranch	Photon_isScEtaEB	is supercluster eta within barrel acceptance : 0 at: 0x641c9a0
 OBJ: TBranch	Photon_isScEtaEE	is supercluster eta within endcap acceptance : 0 at: 0x6420620
 OBJ: TBranch	Photon_mvaID_WP80	MVA ID WP80, Fall17V2 : 0 at: 0x64242a0
 OBJ: TBranch	Photon_mvaID_WP90	MVA ID WP90, Fall17V2 : 0 at: 0x6427f10
 OBJ: TBranch	Photon_pixelSeed	has pixel seed : 0 at: 0x642bb80
 OBJ: TBranch	Photon_seedGain	Gain of the seed crystal : 0 at: 0x642f7c0
 OBJ: TBranch	PuppiMET_phi	phi : 0 at: 0x6433410
 OBJ: TBranch	PuppiMET_phiJERUp	JER up phi : 0 at: 0x6435430
 OBJ: TBranch	PuppiMET_phiJESUp	JES up phi : 0 at: 0x64374e0
 OBJ: TBranch	PuppiMET_pt	pt : 0 at: 0x6439590
 OBJ: TBranch	PuppiMET_ptJERUp	JER up pt : 0 at: 0x643b5b0
 OBJ: TBranch	PuppiMET_ptJESUp	JES up pt : 0 at: 0x643d660
 OBJ: TBranch	PuppiMET_sumEt	scalar sum of Et : 0 at: 0x643f710
 OBJ: TBranch	RawMET_phi	phi : 0 at: 0x6441760
 OBJ: TBranch	RawMET_pt	pt : 0 at: 0x6443780
 OBJ: TBranch	RawMET_sumEt	scalar sum of Et : 0 at: 0x64457a0
 OBJ: TBranch	RawPuppiMET_phi	phi : 0 at: 0x64477f0
 OBJ: TBranch	RawPuppiMET_pt	pt : 0 at: 0x6449870
 OBJ: TBranch	RawPuppiMET_sumEt	scalar sum of Et : 0 at: 0x644b890
 OBJ: TBranch	fixedGridRhoFastjetAll	rho from all PF Candidates, used e.g. for JECs : 0 at: 0x644d970
 OBJ: TBranch	fixedGridRhoFastjetCentral	rho from all PF Candidates for central region, used e.g. for JECs : 0 at: 0x644fa60
 OBJ: TBranch	fixedGridRhoFastjetCentralCalo	rho from calo towers with |eta| < 2.5, used e.g. egamma PFCluster isolation : 0 at: 0x6451b70
 OBJ: TBranch	fixedGridRhoFastjetCentralChargedPileUp	rho from charged PF Candidates for central region, used e.g. for JECs : 0 at: 0x6453c80
 OBJ: TBranch	fixedGridRhoFastjetCentralNeutral	rho from neutral PF Candidates with |eta| < 2.5, used e.g. for rho corrections of some lepton isolations : 0 at: 0x6455dc0
 OBJ: TBranch	nSoftActivityJet	jets clustered from charged candidates compatible with primary vertex (charge()!=0 && pvAssociationQuality()>=5 && vertexRef().key()==0) : 0 at: 0x6457f20
 OBJ: TBranch	SoftActivityJet_eta	eta : 0 at: 0x645a070
 OBJ: TBranch	SoftActivityJet_phi	phi : 0 at: 0x645dca0
 OBJ: TBranch	SoftActivityJet_pt	pt : 0 at: 0x64618d0
 OBJ: TBranch	SoftActivityJetHT	scalar sum of soft activity jet pt, pt>1 : 0 at: 0x6465500
 OBJ: TBranch	SoftActivityJetHT10	scalar sum of soft activity jet pt , pt >10 : 0 at: 0x64675f0
 OBJ: TBranch	SoftActivityJetHT2	scalar sum of soft activity jet pt, pt >2 : 0 at: 0x64696e0
 OBJ: TBranch	SoftActivityJetHT5	scalar sum of soft activity jet pt, pt>5 : 0 at: 0x646b7d0
 OBJ: TBranch	SoftActivityJetNjets10	number of soft activity jet pt, pt >2 : 0 at: 0x646d8c0
 OBJ: TBranch	SoftActivityJetNjets2	number of soft activity jet pt, pt >10 : 0 at: 0x646f9b0
 OBJ: TBranch	SoftActivityJetNjets5	number of soft activity jet pt, pt >5 : 0 at: 0x6471aa0
 OBJ: TBranch	nSubJet	slimmedJetsAK8, i.e. ak8 fat jets for boosted analysis : 0 at: 0x6473b90
 OBJ: TBranch	SubJet_btagCMVA	CMVA V2 btag discriminator : 0 at: 0x6475c00
 OBJ: TBranch	SubJet_btagCSVV2	 pfCombinedInclusiveSecondaryVertexV2 b-tag discriminator (aka CSVV2) : 0 at: 0x6479870
 OBJ: TBranch	SubJet_btagDeepB	DeepCSV b+bb tag discriminator : 0 at: 0x647d530
 OBJ: TBranch	SubJet_eta	eta : 0 at: 0x64811c0
 OBJ: TBranch	SubJet_mass	mass : 0 at: 0x6484dc0
 OBJ: TBranch	SubJet_n2b1	N2 with beta=1 : 0 at: 0x64889c0
 OBJ: TBranch	SubJet_n3b1	N3 with beta=1 : 0 at: 0x648c5c0
 OBJ: TBranch	SubJet_phi	phi : 0 at: 0x64901c0
 OBJ: TBranch	SubJet_pt	pt : 0 at: 0x6493dc0
 OBJ: TBranch	SubJet_rawFactor	1 - Factor to get back to raw pT : 0 at: 0x64979c0
 OBJ: TBranch	SubJet_tau1	Nsubjettiness (1 axis) : 0 at: 0x649b660
 OBJ: TBranch	SubJet_tau2	Nsubjettiness (2 axis) : 0 at: 0x649f290
 OBJ: TBranch	SubJet_tau3	Nsubjettiness (3 axis) : 0 at: 0x64a2ec0
 OBJ: TBranch	SubJet_tau4	Nsubjettiness (4 axis) : 0 at: 0x64a6af0
 OBJ: TBranch	nTau	slimmedTaus after basic selection (pt > 18 && tauID('decayModeFindingNewDMs') && (tauID('byLooseCombinedIsolationDeltaBetaCorr3Hits') || tauID('byVLooseIsolationMVArun2v1DBoldDMwLT2015') || tauID('byVLooseIsolationMVArun2v1DBnewDMwLT') || tauID('byVLooseIsolationMVArun2v1DBdR03oldDMwLT') || tauID('byVVLooseIsolationMVArun2v1DBoldDMwLT') || tauID('byVVLooseIsolationMVArun2v1DBoldDMwLT2017v2') || tauID('byVVLooseIsolationMVArun2v1DBnewDMwLT2017v2') || tauID('byVVLooseIsolationMVArun2v1DBdR03oldDMwLT2017v2') || tauID('byVVVLooseDeepTau2017v2p1VSjet'))) : 0 at: 0x64aa720
 OBJ: TBranch	Tau_chargedIso	charged isolation : 0 at: 0x64ac980
 OBJ: TBranch	Tau_dxy	d_{xy} of lead track with respect to PV, in cm (with sign) : 0 at: 0x64b05a0
 OBJ: TBranch	Tau_dz	d_{z} of lead track with respect to PV, in cm (with sign) : 0 at: 0x64b41b0
 OBJ: TBranch	Tau_eta	eta : 0 at: 0x64b7dc0
 OBJ: TBranch	Tau_leadTkDeltaEta	eta of the leading track, minus tau eta : 0 at: 0x64bb980
 OBJ: TBranch	Tau_leadTkDeltaPhi	phi of the leading track, minus tau phi : 0 at: 0x64bf610
 OBJ: TBranch	Tau_leadTkPtOverTauPt	pt of the leading track divided by tau pt : 0 at: 0x64c32a0
 OBJ: TBranch	Tau_mass	mass : 0 at: 0x64c6f30
 OBJ: TBranch	Tau_neutralIso	neutral (photon) isolation : 0 at: 0x64caaf0
 OBJ: TBranch	Tau_phi	phi : 0 at: 0x64ce710
 OBJ: TBranch	Tau_photonsOutsideSignalCone	sum of photons outside signal cone : 0 at: 0x64d22d0
 OBJ: TBranch	Tau_pt	pt : 0 at: 0x64d5f70
 OBJ: TBranch	Tau_puCorr	pileup correction : 0 at: 0x64d9b30
 OBJ: TBranch	Tau_rawAntiEle	Anti-electron MVA discriminator V6 raw output discriminator : 0 at: 0x64dd750
 OBJ: TBranch	Tau_rawAntiEle2018	Anti-electron MVA discriminator V6 raw output discriminator (2018) : 0 at: 0x64e1390
 OBJ: TBranch	Tau_rawDeepTau2017v2p1VSe	byDeepTau2017v2p1VSe raw output discriminator (deepTau2017v2p1) : 0 at: 0x64e5040
 OBJ: TBranch	Tau_rawDeepTau2017v2p1VSjet	byDeepTau2017v2p1VSjet raw output discriminator (deepTau2017v2p1) : 0 at: 0x64e8ce0
 OBJ: TBranch	Tau_rawDeepTau2017v2p1VSmu	byDeepTau2017v2p1VSmu raw output discriminator (deepTau2017v2p1) : 0 at: 0x64ec9a0
 OBJ: TBranch	Tau_rawIso	combined isolation (deltaBeta corrections) : 0 at: 0x64f0660
 OBJ: TBranch	Tau_rawIsodR03	combined isolation (deltaBeta corrections, dR=0.3) : 0 at: 0x64f4290
 OBJ: TBranch	Tau_rawMVAnewDM2017v2	byIsolationMVArun2v1DBnewDMwLT raw output discriminator (2017v2) : 0 at: 0x64f7ed0
 OBJ: TBranch	Tau_rawMVAoldDM	byIsolationMVArun2v1DBoldDMwLT raw output discriminator (2015) : 0 at: 0x64fbb80
 OBJ: TBranch	Tau_rawMVAoldDM2017v1	byIsolationMVArun2v1DBoldDMwLT raw output discriminator (2017v1) : 0 at: 0x64ff800
 OBJ: TBranch	Tau_rawMVAoldDM2017v2	byIsolationMVArun2v1DBoldDMwLT raw output discriminator (2017v2) : 0 at: 0x65034b0
 OBJ: TBranch	Tau_rawMVAoldDMdR032017v2	byIsolationMVArun2v1DBdR03oldDMwLT raw output discriminator (2017v2) : 0 at: 0x6507160
 OBJ: TBranch	Tau_charge	electric charge : 0 at: 0x650ae10
 OBJ: TBranch	Tau_decayMode	decayMode() : 0 at: 0x650ea20
 OBJ: TBranch	Tau_jetIdx	index of the associated jet (-1 if none) : 0 at: 0x6512610
 OBJ: TBranch	Tau_rawAntiEleCat	Anti-electron MVA discriminator V6 category : 0 at: 0x6516240
 OBJ: TBranch	Tau_rawAntiEleCat2018	Anti-electron MVA discriminator V6 category (2018) : 0 at: 0x6519ed0
 OBJ: TBranch	Tau_idAntiEle	Anti-electron MVA discriminator V6: bitmask 1 = VLoose, 2 = Loose, 4 = Medium, 8 = Tight, 16 = VTight : 0 at: 0x651db70
 OBJ: TBranch	Tau_idAntiEle2018	Anti-electron MVA discriminator V6 (2018): bitmask 1 = VLoose, 2 = Loose, 4 = Medium, 8 = Tight, 16 = VTight : 0 at: 0x65217d0
 OBJ: TBranch	Tau_idAntiMu	Anti-muon discriminator V3: : bitmask 1 = Loose, 2 = Tight : 0 at: 0x6525490
 OBJ: TBranch	Tau_idDecayMode	tauID('decayModeFinding') : 0 at: 0x65290c0
 OBJ: TBranch	Tau_idDecayModeNewDMs	tauID('decayModeFindingNewDMs') : 0 at: 0x652cd10
 OBJ: TBranch	Tau_idDeepTau2017v2p1VSe	byDeepTau2017v2p1VSe ID working points (deepTau2017v2p1): bitmask 1 = VVVLoose, 2 = VVLoose, 4 = VLoose, 8 = Loose, 16 = Medium, 32 = Tight, 64 = VTight, 128 = VVTight : 0 at: 0x6530980
 OBJ: TBranch	Tau_idDeepTau2017v2p1VSjet	byDeepTau2017v2p1VSjet ID working points (deepTau2017v2p1): bitmask 1 = VVVLoose, 2 = VVLoose, 4 = VLoose, 8 = Loose, 16 = Medium, 32 = Tight, 64 = VTight, 128 = VVTight : 0 at: 0x6534680
 OBJ: TBranch	Tau_idDeepTau2017v2p1VSmu	byDeepTau2017v2p1VSmu ID working points (deepTau2017v2p1): bitmask 1 = VLoose, 2 = Loose, 4 = Medium, 8 = Tight : 0 at: 0x6538390
 OBJ: TBranch	Tau_idMVAnewDM2017v2	IsolationMVArun2v1DBnewDMwLT ID working point (2017v2): bitmask 1 = VVLoose, 2 = VLoose, 4 = Loose, 8 = Medium, 16 = Tight, 32 = VTight, 64 = VVTight : 0 at: 0x653c050
 OBJ: TBranch	Tau_idMVAoldDM	IsolationMVArun2v1DBoldDMwLT ID working point (2015): bitmask 1 = VLoose, 2 = Loose, 4 = Medium, 8 = Tight, 16 = VTight, 32 = VVTight : 0 at: 0x653fd40
 OBJ: TBranch	Tau_idMVAoldDM2017v1	IsolationMVArun2v1DBoldDMwLT ID working point (2017v1): bitmask 1 = VVLoose, 2 = VLoose, 4 = Loose, 8 = Medium, 16 = Tight, 32 = VTight, 64 = VVTight : 0 at: 0x65439c0
 OBJ: TBranch	Tau_idMVAoldDM2017v2	IsolationMVArun2v1DBoldDMwLT ID working point (2017v2): bitmask 1 = VVLoose, 2 = VLoose, 4 = Loose, 8 = Medium, 16 = Tight, 32 = VTight, 64 = VVTight : 0 at: 0x65476b0
 OBJ: TBranch	Tau_idMVAoldDMdR032017v2	IsolationMVArun2v1DBoldDMdR0p3wLT ID working point (2017v2): bitmask 1 = VVLoose, 2 = VLoose, 4 = Loose, 8 = Medium, 16 = Tight, 32 = VTight, 64 = VVTight : 0 at: 0x654b3a0
 OBJ: TBranch	TkMET_phi	raw track MET phi : 0 at: 0x654f090
 OBJ: TBranch	TkMET_pt	raw track MET pt : 0 at: 0x65510e0
 OBJ: TBranch	TkMET_sumEt	raw track scalar sum of Et : 0 at: 0x6553130
 OBJ: TBranch	nTrigObj	 : 0 at: 0x62e1d20
 OBJ: TBranch	TrigObj_pt	pt : 0 at: 0x62e3d40
 OBJ: TBranch	TrigObj_eta	eta : 0 at: 0x62e7990
 OBJ: TBranch	TrigObj_phi	phi : 0 at: 0x62eb5e0
 OBJ: TBranch	TrigObj_l1pt	pt of associated L1 seed : 0 at: 0x62ebb00
 OBJ: TBranch	TrigObj_l1pt_2	pt of associated secondary L1 seed : 0 at: 0x65721f0
 OBJ: TBranch	TrigObj_l2pt	pt of associated 'L2' seed (i.e. HLT before tracking/PF) : 0 at: 0x6575e80
 OBJ: TBranch	TrigObj_id	ID of the object: 11 = Electron (PixelMatched e/gamma), 22 = Photon (PixelMatch-vetoed e/gamma), 13 = Muon, 15 = Tau, 1 = Jet, 6 = FatJet, 2 = MET, 3 = HT, 4 = MHT : 0 at: 0x6579b20
 OBJ: TBranch	TrigObj_l1iso	iso of associated L1 seed : 0 at: 0x657d830
 OBJ: TBranch	TrigObj_l1charge	charge of associated L1 seed : 0 at: 0x65814b0
 OBJ: TBranch	TrigObj_filterBits	extra bits of associated information: 1 = CaloIdL_TrackIdL_IsoVL, 2 = 1e (WPTight), 4 = 1e (WPLoose), 8 = OverlapFilter PFTau, 16 = 2e, 32 = 1e-1mu, 64 = 1e-1tau, 128 = 3e, 256 = 2e-1mu, 512 = 1e-2mu, 1024 = 1e (32_L1DoubleEG_AND_L1SingleEGOr), 2048 = 1e (CaloIdVT_GsfTrkIdT), 4096 = 1e (PFJet), 8192 = 1e (Photon175_OR_Photon200) for Electron (PixelMatched e/gamma); 1 = TrkIsoVVL, 2 = Iso, 4 = OverlapFilter PFTau, 8 = 1mu, 16 = 2mu, 32 = 1mu-1e, 64 = 1mu-1tau, 128 = 3mu, 256 = 2mu-1e, 512 = 1mu-2e, 1024 = 1mu (Mu50), 2048 = 1mu (Mu100) for Muon; 1 = LooseChargedIso, 2 = MediumChargedIso, 4 = TightChargedIso, 8 = TightID OOSC photons, 16 = HPS, 32 = single-tau + tau+MET, 64 = di-tau, 128 = e-tau, 256 = mu-tau, 512 = VBF+di-tau for Tau; Jet bits: bit 0 for VBF cross-cleaned from loose iso PFTau, bit 1 for hltBTagCaloCSVp087Triple, bit 2 for hltDoubleCentralJet90, bit 3 for hltDoublePFCentralJetLooseID90, bit 4 for hltL1sTripleJetVBFIorHTTIorDoubleJetCIorSingleJet, bit 5 for hltQuadCentralJet30, bit 6 for hltQuadPFCentralJetLooseID30, bit 7 for hltL1sQuadJetC50IorQuadJetC60IorHTT280IorHTT300IorHTT320IorTripleJet846848VBFIorTripleJet887256VBFIorTripleJet927664VBF or hltL1sQuadJetCIorTripleJetVBFIorHTT, bit 8 for hltQuadCentralJet45, bit 9 for hltQuadPFCentralJetLooseID45, bit 10  for hltL1sQuadJetC60IorHTT380IorHTT280QuadJetIorHTT300QuadJet or hltL1sQuadJetC50to60IorHTT280to500IorHTT250to340QuadJet bit 11 for hltBTagCaloCSVp05Double or hltBTagCaloDeepCSVp17Double, bit 12 for hltPFCentralJetLooseIDQuad30, bit 13 for hlt1PFCentralJetLooseID75, bit 14 for hlt2PFCentralJetLooseID60, bit 15 for hlt3PFCentralJetLooseID45, bit 16 for hlt4PFCentralJetLooseID40, bit 17 for hltBTagPFCSVp070Triple or hltBTagPFDeepCSVp24Triple or hltBTagPFDeepCSV4p5Triple  for Jet; HT bits: bit 0 for hltL1sTripleJetVBFIorHTTIorDoubleJetCIorSingleJet, bit 1 for hltL1sQuadJetC50IorQuadJetC60IorHTT280IorHTT300IorHTT320IorTripleJet846848VBFIorTripleJet887256VBFIorTripleJet927664VBF or hltL1sQuadJetCIorTripleJetVBFIorHTT, bit 2 for hltL1sQuadJetC60IorHTT380IorHTT280QuadJetIorHTT300QuadJet or hltL1sQuadJetC50to60IorHTT280to500IorHTT250to340QuadJet, bit 3 for hltCaloQuadJet30HT300 or hltCaloQuadJet30HT320, bit 4 for hltPFCentralJetsLooseIDQuad30HT300 or hltPFCentralJetsLooseIDQuad30HT330 for HT; MHT bits: bit 0 for hltCaloQuadJet30HT300 or hltCaloQuadJet30HT320, bit 1 for hltPFCentralJetsLooseIDQuad30HT300 or hltPFCentralJetsLooseIDQuad30HT330 for MHT;  : 0 at: 0x6585190
 OBJ: TBranch	nOtherPV	 : 0 at: 0x65897f0
 OBJ: TBranch	OtherPV_z	Z position of other primary vertices, excluding the main PV : 0 at: 0x658b810
 OBJ: TBranch	PV_ndof	main primary vertex number of degree of freedom : 0 at: 0x658f410
 OBJ: TBranch	PV_x	main primary vertex position x coordinate : 0 at: 0x6591470
 OBJ: TBranch	PV_y	main primary vertex position y coordinate : 0 at: 0x65934d0
 OBJ: TBranch	PV_z	main primary vertex position z coordinate : 0 at: 0x6595530
 OBJ: TBranch	PV_chi2	main primary vertex reduced chi2 : 0 at: 0x6597590
 OBJ: TBranch	PV_score	main primary vertex score, i.e. sum pt2 of clustered objects : 0 at: 0x65995f0
 OBJ: TBranch	PV_npvs	total number of reconstructed primary vertices : 0 at: 0x659b660
 OBJ: TBranch	PV_npvsGood	number of good reconstructed primary vertices. selection:!isFake && ndof > 4 && abs(z) <= 24 && position.Rho <= 2 : 0 at: 0x659d6c0
 OBJ: TBranch	nSV	 : 0 at: 0x659f770
 OBJ: TBranch	SV_dlen	decay length in cm : 0 at: 0x65a1790
 OBJ: TBranch	SV_dlenSig	decay length significance : 0 at: 0x65a53a0
 OBJ: TBranch	SV_dxy	2D decay length in cm : 0 at: 0x65a8fd0
 OBJ: TBranch	SV_dxySig	2D decay length significance : 0 at: 0x65acbe0
 OBJ: TBranch	SV_pAngle	pointing angle, i.e. acos(p_SV * (SV - PV))  : 0 at: 0x65b07f0
 OBJ: TBranch	Electron_cleanmask	simple cleaning mask with priority to leptons : 0 at: 0x65b4410
 OBJ: TBranch	Jet_cleanmask	simple cleaning mask with priority to leptons : 0 at: 0x65b8090
 OBJ: TBranch	Muon_cleanmask	simple cleaning mask with priority to leptons : 0 at: 0x65bbc90
 OBJ: TBranch	Photon_cleanmask	simple cleaning mask with priority to leptons : 0 at: 0x65bf8b0
 OBJ: TBranch	Tau_cleanmask	simple cleaning mask with priority to leptons : 0 at: 0x65c3530
 OBJ: TBranch	SV_chi2	reduced chi2, i.e. chi/ndof : 0 at: 0x65c7150
 OBJ: TBranch	SV_eta	eta : 0 at: 0x65cad60
 OBJ: TBranch	SV_mass	mass : 0 at: 0x65ce940
 OBJ: TBranch	SV_ndof	number of degrees of freedom : 0 at: 0x65d2520
 OBJ: TBranch	SV_phi	phi : 0 at: 0x65d6130
 OBJ: TBranch	SV_pt	pt : 0 at: 0x65d9d10
 OBJ: TBranch	SV_x	secondary vertex X position, in cm : 0 at: 0x65dd8f0
 OBJ: TBranch	SV_y	secondary vertex Y position, in cm : 0 at: 0x65e1510
 OBJ: TBranch	SV_z	secondary vertex Z position, in cm : 0 at: 0x65e5130
 OBJ: TBranch	L1_AlwaysTrue	Trigger/flag bit (process: NANO) : 0 at: 0x65e8d50
 OBJ: TBranch	L1_BPTX_AND_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x65eadb0
 OBJ: TBranch	L1_BPTX_AND_Ref1_VME	Trigger/flag bit (process: NANO) : 0 at: 0x65ece70
 OBJ: TBranch	L1_BPTX_AND_Ref2_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x65eef60
 OBJ: TBranch	L1_BPTX_AND_Ref3_VME	Trigger/flag bit (process: NANO) : 0 at: 0x65f1050
 OBJ: TBranch	L1_BPTX_AND_Ref4_VME	Trigger/flag bit (process: NANO) : 0 at: 0x65f3140
 OBJ: TBranch	L1_BPTX_B1NotB2_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x65f5230
 OBJ: TBranch	L1_BPTX_B1_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x65f7320
 OBJ: TBranch	L1_BPTX_B2NotB1_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x65f9380
 OBJ: TBranch	L1_BPTX_B2_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x65fb470
 OBJ: TBranch	L1_BPTX_BeamGas_B1_VME	Trigger/flag bit (process: NANO) : 0 at: 0x65fd4d0
 OBJ: TBranch	L1_BPTX_BeamGas_B2_VME	Trigger/flag bit (process: NANO) : 0 at: 0x65ff5c0
 OBJ: TBranch	L1_BPTX_BeamGas_Ref1_VME	Trigger/flag bit (process: NANO) : 0 at: 0x66016b0
 OBJ: TBranch	L1_BPTX_BeamGas_Ref2_VME	Trigger/flag bit (process: NANO) : 0 at: 0x66037a0
 OBJ: TBranch	L1_BPTX_NotOR_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x6605890
 OBJ: TBranch	L1_BPTX_NotOR_VME	Trigger/flag bit (process: NANO) : 0 at: 0x6607980
 OBJ: TBranch	L1_BPTX_OR_NIM	Trigger/flag bit (process: NANO) : 0 at: 0x6609a70
 OBJ: TBranch	L1_BPTX_OR_Ref3_VME	Trigger/flag bit (process: NANO) : 0 at: 0x660bad0
 OBJ: TBranch	L1_BPTX_OR_Ref4_VME	Trigger/flag bit (process: NANO) : 0 at: 0x660dbc0
 OBJ: TBranch	L1_BPTX_RefAND_VME	Trigger/flag bit (process: NANO) : 0 at: 0x660fcb0
 OBJ: TBranch	L1_BptxMinus	Trigger/flag bit (process: NANO) : 0 at: 0x6611da0
 OBJ: TBranch	L1_BptxOR	Trigger/flag bit (process: NANO) : 0 at: 0x6613e00
 OBJ: TBranch	L1_BptxPlus	Trigger/flag bit (process: NANO) : 0 at: 0x6615e60
 OBJ: TBranch	L1_BptxXOR	Trigger/flag bit (process: NANO) : 0 at: 0x6617ec0
 OBJ: TBranch	L1_CDC_3_TOP120_DPHI1p570_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x6619f20
 OBJ: TBranch	L1_CDC_3_TOP120_DPHI2p094_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x661c010
 OBJ: TBranch	L1_CDC_3_TOP120_DPHI2p618_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x661e100
 OBJ: TBranch	L1_CDC_3_TOP_DPHI2p618_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x66201f0
 OBJ: TBranch	L1_CDC_3_er1p2_TOP120_DPHI1p570_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x66222e0
 OBJ: TBranch	L1_CDC_3_er1p2_TOP120_DPHI2p094_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x6624400
 OBJ: TBranch	L1_CDC_3_er1p2_TOP120_DPHI2p618_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x6626520
 OBJ: TBranch	L1_CDC_3_er1p6_TOP120_DPHI1p570_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x6628640
 OBJ: TBranch	L1_CDC_3_er1p6_TOP120_DPHI2p094_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x662a760
 OBJ: TBranch	L1_CDC_3_er1p6_TOP120_DPHI2p618_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x662c880
 OBJ: TBranch	L1_CDC_3_er2p1_TOP120_DPHI1p570_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x662e9a0
 OBJ: TBranch	L1_CDC_3_er2p1_TOP120_DPHI2p094_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x6630ac0
 OBJ: TBranch	L1_CDC_3_er2p1_TOP120_DPHI2p618_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x6632be0
 OBJ: TBranch	L1_CDC_SingleMu_3_TOP120_DPHI2p618_3p142	Trigger/flag bit (process: NANO) : 0 at: 0x6634d00
