OBJ: TObjArray	TObjArray	An array of objects : 0
 OBJ: TBranch	Electron_mvaFall17V2Iso	MVA Iso ID V2 score : 0 at: 0x50b5c00
 OBJ: TBranch	Electron_mvaFall17V2noIso	MVA noIso ID V2 score : 0 at: 0x50b7c70
 OBJ: TBranch	Electron_pfRelIso03_all	PF relative isolation dR=0.3, total (with rho*EA PU corrections) : 0 at: 0x50b9ce0
 OBJ: TBranch	Electron_pfRelIso03_chg	PF relative isolation dR=0.3, charged component : 0 at: 0x50bbd80
 OBJ: TBranch	Electron_phi	phi : 0 at: 0x50bde00
 OBJ: TBranch	Electron_pt	p_{T} : 0 at: 0x50bfdd0
 OBJ: TBranch	Electron_r9	R9 of the supercluster, calculated with full 5x5 region : 0 at: 0x50c1da0
 OBJ: TBranch	Electron_scEtOverPt	(supercluster transverse energy)/pt-1 : 0 at: 0x50c3dc0
 OBJ: TBranch	Electron_sieie	sigma_IetaIeta of the supercluster, calculated with full 5x5 region : 0 at: 0x50c5e30
 OBJ: TBranch	Electron_sip3d	3D impact parameter significance wrt first PV, in cm : 0 at: 0x50c7e60
 OBJ: TBranch	Electron_mvaTTH	TTH MVA lepton ID score : 0 at: 0x50c9e80
 OBJ: TBranch	Electron_charge	electric charge : 0 at: 0x50cbe80
 OBJ: TBranch	Electron_cutBased	cut-based ID Fall17 V2 (0:fail, 1:veto, 2:loose, 3:medium, 4:tight) : 0 at: 0x50cde50
 OBJ: TBranch	Electron_cutBased_Fall17_V1	cut-based ID Fall17 V1 (0:fail, 1:veto, 2:loose, 3:medium, 4:tight) : 0 at: 0x50cfee0
 OBJ: TBranch	Electron_jetIdx	index of the associated jet (-1 if none) : 0 at: 0x50d1f80
 OBJ: TBranch	Electron_pdgId	PDG code assigned by the event reconstruction (not by MC truth) : 0 at: 0x50d3f90
 OBJ: TBranch	Electron_photonIdx	index of the associated photon (-1 if none) : 0 at: 0x50d5fb0
 OBJ: TBranch	Electron_tightCharge	Tight charge criteria (0:none, 1:isGsfScPixChargeConsistent, 2:isGsfCtfScPixChargeConsistent) : 0 at: 0x50d8020
 OBJ: TBranch	Electron_vidNestedWPBitmap	VID compressed bitmap (MinPtCut,GsfEleSCEtaMultiRangeCut,GsfEleDEtaInSeedCut,GsfEleDPhiInCut,GsfEleFull5x5SigmaIEtaIEtaCut,GsfEleHadronicOverEMEnergyScaledCut,GsfEleEInverseMinusPInverseCut,GsfEleRelPFIsoScaledCut,GsfEleConversionVetoCut,GsfEleMissingHitsCut), 3 bits per cut : 0 at: 0x50da0c0
 OBJ: TBranch	Electron_vidNestedWPBitmapHEEP	VID compressed bitmap (MinPtCut,GsfEleSCEtaMultiRangeCut,GsfEleDEtaInSeedCut,GsfEleDPhiInCut,GsfEleFull5x5SigmaIEtaIEtaWithSatCut,GsfEleFull5x5E2x5OverE5x5WithSatCut,GsfEleHadronicOverEMLinearCut,GsfEleValueMapIsoRhoCut,GsfEleEmHadD1IsoRhoCut,GsfEleDxyCut,GsfEleMissingHitsCut,GsfEleEcalDrivenCut), 1 bits per cut : 0 at: 0x50dc230
 OBJ: TBranch	Electron_convVeto	pass conversion veto : 0 at: 0x50de3c0
 OBJ: TBranch	Electron_cutBased_HEEP	cut-based HEEP ID : 0 at: 0x50e23a0
 OBJ: TBranch	Electron_isPFcand	electron is PF candidate : 0 at: 0x50e4410
 OBJ: TBranch	Electron_lostHits	number of missing inner hits : 0 at: 0x50e6470
 OBJ: TBranch	Electron_mvaFall17V1Iso_WP80	MVA Iso ID V1 WP80 : 0 at: 0x50ea3f0
 OBJ: TBranch	Electron_mvaFall17V1Iso_WP90	MVA Iso ID V1 WP90 : 0 at: 0x50ec460
 OBJ: TBranch	Electron_mvaFall17V1Iso_WPL	MVA Iso ID V1 loose WP : 0 at: 0x50ee4d0
 OBJ: TBranch	Electron_mvaFall17V1noIso_WP80	MVA noIso ID V1 WP80 : 0 at: 0x50f0540
 OBJ: TBranch	Electron_mvaFall17V1noIso_WP90	MVA noIso ID V1 WP90 : 0 at: 0x50f25b0
 OBJ: TBranch	Electron_mvaFall17V1noIso_WPL	MVA noIso ID V1 loose WP : 0 at: 0x50f4620
 OBJ: TBranch	Electron_mvaFall17V2Iso_WP80	MVA Iso ID V2 WP80 : 0 at: 0x50f6690
 OBJ: TBranch	Electron_mvaFall17V2Iso_WP90	MVA Iso ID V2 WP90 : 0 at: 0x50f8700
 OBJ: TBranch	Electron_mvaFall17V2Iso_WPL	MVA Iso ID V2 loose WP : 0 at: 0x50fa770
 OBJ: TBranch	Electron_mvaFall17V2noIso_WP80	MVA noIso ID V2 WP80 : 0 at: 0x50fc7e0
 OBJ: TBranch	Electron_mvaFall17V2noIso_WP90	MVA noIso ID V2 WP90 : 0 at: 0x50fe850
 OBJ: TBranch	Electron_mvaFall17V2noIso_WPL	MVA noIso ID V2 loose WP : 0 at: 0x51008c0
 OBJ: TBranch	Electron_seedGain	Gain of the seed crystal : 0 at: 0x5102930
 OBJ: TBranch	Flag_ecalBadCalibFilterV2	Bad ECAL calib flag (updated xtal list) : 0 at: 0x5104990
 OBJ: TBranch	nFatJet	slimmedJetsAK8, i.e. ak8 fat jets for boosted analysis : 0 at: 0x5105c70
 OBJ: TBranch	FatJet_area	jet catchment area, for JECs : 0 at: 0x5106ed0
 OBJ: TBranch	FatJet_btagCMVA	CMVA V2 btag discriminator : 0 at: 0x5108ed0
 OBJ: TBranch	FatJet_btagCSVV2	 pfCombinedInclusiveSecondaryVertexV2 b-tag discriminator (aka CSVV2) : 0 at: 0x510aed0
 OBJ: TBranch	FatJet_btagDDBvL	DeepDoubleX (mass-decorrelated) discriminator for H(Z)->bb vs QCD : 0 at: 0x510cf60
 OBJ: TBranch	FatJet_btagDDBvL_noMD	DeepDoubleX discriminator (no mass-decorrelation) for H(Z)->bb vs QCD : 0 at: 0x510eff0
 OBJ: TBranch	FatJet_btagDDCvB	DeepDoubleX (mass-decorrelated) discriminator for H(Z)->cc vs H(Z)->bb : 0 at: 0x5111080
 OBJ: TBranch	FatJet_btagDDCvB_noMD	DeepDoubleX discriminator (no mass-decorrelation) for H(Z)->cc vs H(Z)->bb : 0 at: 0x5113110
 OBJ: TBranch	FatJet_btagDDCvL	DeepDoubleX (mass-decorrelated) discriminator for H(Z)->cc vs QCD : 0 at: 0x51151a0
 OBJ: TBranch	FatJet_btagDDCvL_noMD	DeepDoubleX discriminator (no mass-decorrelation) for H(Z)->cc vs QCD : 0 at: 0x5117230
 OBJ: TBranch	FatJet_btagDeepB	DeepCSV b+bb tag discriminator : 0 at: 0x51192c0
 OBJ: TBranch	FatJet_btagHbb	Higgs to BB tagger discriminator : 0 at: 0x511b320
 OBJ: TBranch	FatJet_deepTagMD_H4qvsQCD	Mass-decorrelated DeepBoostedJet tagger H->4q vs QCD discriminator : 0 at: 0x511d330
 OBJ: TBranch	FatJet_deepTagMD_HbbvsQCD	Mass-decorrelated DeepBoostedJet tagger H->bb vs QCD discriminator : 0 at: 0x511f3d0
 OBJ: TBranch	FatJet_deepTagMD_TvsQCD	Mass-decorrelated DeepBoostedJet tagger top vs QCD discriminator : 0 at: 0x5121470
 OBJ: TBranch	FatJet_deepTagMD_WvsQCD	Mass-decorrelated DeepBoostedJet tagger W vs QCD discriminator : 0 at: 0x5123510
 OBJ: TBranch	FatJet_deepTagMD_ZHbbvsQCD	Mass-decorrelated DeepBoostedJet tagger Z/H->bb vs QCD discriminator : 0 at: 0x51255a0
 OBJ: TBranch	FatJet_deepTagMD_ZHccvsQCD	Mass-decorrelated DeepBoostedJet tagger Z/H->cc vs QCD discriminator : 0 at: 0x5127640
 OBJ: TBranch	FatJet_deepTagMD_ZbbvsQCD	Mass-decorrelated DeepBoostedJet tagger Z->bb vs QCD discriminator : 0 at: 0x51296e0
 OBJ: TBranch	FatJet_deepTagMD_ZvsQCD	Mass-decorrelated DeepBoostedJet tagger Z vs QCD discriminator : 0 at: 0x512b780
 OBJ: TBranch	FatJet_deepTagMD_bbvsLight	Mass-decorrelated DeepBoostedJet tagger Z/H/gluon->bb vs light flavour discriminator : 0 at: 0x512d810
 OBJ: TBranch	FatJet_deepTagMD_ccvsLight	Mass-decorrelated DeepBoostedJet tagger Z/H/gluon->cc vs light flavour discriminator : 0 at: 0x512f8c0
 OBJ: TBranch	FatJet_deepTag_H	DeepBoostedJet tagger H(bb,cc,4q) sum : 0 at: 0x5131970
 OBJ: TBranch	FatJet_deepTag_QCD	DeepBoostedJet tagger QCD(bb,cc,b,c,others) sum : 0 at: 0x51339e0
 OBJ: TBranch	FatJet_deepTag_QCDothers	DeepBoostedJet tagger QCDothers value : 0 at: 0x5135a50
 OBJ: TBranch	FatJet_deepTag_TvsQCD	DeepBoostedJet tagger top vs QCD discriminator : 0 at: 0x5137ad0
 OBJ: TBranch	FatJet_deepTag_WvsQCD	DeepBoostedJet tagger W vs QCD discriminator : 0 at: 0x5139b40
 OBJ: TBranch	FatJet_deepTag_ZvsQCD	DeepBoostedJet tagger Z vs QCD discriminator : 0 at: 0x513bbb0
 OBJ: TBranch	FatJet_eta	eta : 0 at: 0x513dc20
 OBJ: TBranch	FatJet_mass	mass : 0 at: 0x513fbf0
 OBJ: TBranch	FatJet_msoftdrop	Corrected soft drop mass with PUPPI : 0 at: 0x5141bc0
 OBJ: TBranch	FatJet_n2b1	N2 with beta=1 : 0 at: 0x5143c30
 OBJ: TBranch	FatJet_n3b1	N3 with beta=1 : 0 at: 0x5145c00
 OBJ: TBranch	FatJet_phi	phi : 0 at: 0x5147bd0
 OBJ: TBranch	FatJet_pt	pt : 0 at: 0x5149ba0
 OBJ: TBranch	FatJet_rawFactor	1 - Factor to get back to raw pT : 0 at: 0x514bb70
 OBJ: TBranch	FatJet_tau1	Nsubjettiness (1 axis) : 0 at: 0x514dbe0
 OBJ: TBranch	FatJet_tau2	Nsubjettiness (2 axis) : 0 at: 0x514fbe0
 OBJ: TBranch	FatJet_tau3	Nsubjettiness (3 axis) : 0 at: 0x5151be0
 OBJ: TBranch	FatJet_tau4	Nsubjettiness (4 axis) : 0 at: 0x5153be0
 OBJ: TBranch	FatJet_lsf3	Lepton Subjet Fraction (3 subjets) : 0 at: 0x5155be0
 OBJ: TBranch	FatJet_jetId	Jet ID flags bit1 is loose (always false in 2017 since it does not exist), bit2 is tight, bit3 is tightLepVeto : 0 at: 0x5157bf0
 OBJ: TBranch	FatJet_subJetIdx1	index of first subjet : 0 at: 0x5159c40
 OBJ: TBranch	FatJet_subJetIdx2	index of second subjet : 0 at: 0x515bca0
 OBJ: TBranch	FatJet_electronIdx3SJ	index of electron matched to jet : 0 at: 0x515dd00
 OBJ: TBranch	FatJet_muonIdx3SJ	index of muon matched to jet : 0 at: 0x515fd70
 OBJ: TBranch	nFsrPhoton	Final state radiation photons emitted by muons : 0 at: 0x5161dd0
 OBJ: TBranch	FsrPhoton_dROverEt2	deltaR to associated muon divided by photon et2 : 0 at: 0x5163020
 OBJ: TBranch	FsrPhoton_eta	eta : 0 at: 0x5165090
 OBJ: TBranch	FsrPhoton_phi	phi : 0 at: 0x5167060
 OBJ: TBranch	FsrPhoton_pt	pt : 0 at: 0x5169030
 OBJ: TBranch	FsrPhoton_relIso03	relative isolation in a 0.3 cone without CHS : 0 at: 0x516b000
 OBJ: TBranch	FsrPhoton_muonIdx	index of associated muon : 0 at: 0x516d070
 OBJ: TBranch	nIsoTrack	isolated tracks after basic selection (((pt>5 && (abs(pdgId) == 11 || abs(pdgId) == 13)) || pt > 10) && (abs(pdgId) < 15 || abs(eta) < 2.5) && abs(dxy) < 0.2 && abs(dz) < 0.1 && ((pfIsolationDR03().chargedHadronIso < 5 && pt < 25) || pfIsolationDR03().chargedHadronIso/pt < 0.2)) and lepton veto : 0 at: 0x516f0d0
 OBJ: TBranch	IsoTrack_dxy	dxy (with sign) wrt first PV, in cm : 0 at: 0x5170420
 OBJ: TBranch	IsoTrack_dz	dz (with sign) wrt first PV, in cm : 0 at: 0x5172460
 OBJ: TBranch	IsoTrack_eta	eta : 0 at: 0x51744a0
 OBJ: TBranch	IsoTrack_pfRelIso03_all	PF relative isolation dR=0.3, total (deltaBeta corrections) : 0 at: 0x51764a0
 OBJ: TBranch	IsoTrack_pfRelIso03_chg	PF relative isolation dR=0.3, charged component : 0 at: 0x5178560
 OBJ: TBranch	IsoTrack_phi	phi : 0 at: 0x517a610
 OBJ: TBranch	IsoTrack_pt	pt : 0 at: 0x517c610
 OBJ: TBranch	IsoTrack_miniPFRelIso_all	mini PF relative isolation, total (with scaled rho*EA PU corrections) : 0 at: 0x517e610
 OBJ: TBranch	IsoTrack_miniPFRelIso_chg	mini PF relative isolation, charged component : 0 at: 0x51806e0
 OBJ: TBranch	IsoTrack_fromPV	isolated track comes from PV : 0 at: 0x5182790
 OBJ: TBranch	IsoTrack_pdgId	PDG id of PF cand : 0 at: 0x51847c0
 OBJ: TBranch	IsoTrack_isHighPurityTrack	track is high purity : 0 at: 0x51867f0
 OBJ: TBranch	IsoTrack_isPFcand	if isolated track is a PF candidate : 0 at: 0x5188860
 OBJ: TBranch	IsoTrack_isFromLostTrack	if isolated track comes from a lost track : 0 at: 0x518a8d0
 OBJ: TBranch	nJet	slimmedJets, i.e. ak4 PFJets CHS with JECs applied, after basic selection (pt > 15) : 0 at: 0x518c950
 OBJ: TBranch	Jet_area	jet catchment area, for JECs : 0 at: 0x518dbd0
 OBJ: TBranch	Jet_btagCMVA	CMVA V2 btag discriminator : 0 at: 0x518f870
 OBJ: TBranch	Jet_btagCSVV2	 pfCombinedInclusiveSecondaryVertexV2 b-tag discriminator (aka CSVV2) : 0 at: 0x5191540
 OBJ: TBranch	Jet_btagDeepB	DeepCSV b+bb tag discriminator : 0 at: 0x5193240
 OBJ: TBranch	Jet_btagDeepC	DeepCSV charm btag discriminator : 0 at: 0x5194f10
 OBJ: TBranch	Jet_btagDeepFlavB	DeepFlavour b+bb+lepb tag discriminator : 0 at: 0x5196bf0
 OBJ: TBranch	Jet_btagDeepFlavC	DeepFlavour charm tag discriminator : 0 at: 0x5198930
 OBJ: TBranch	Jet_chEmEF	charged Electromagnetic Energy Fraction : 0 at: 0x519a670
 OBJ: TBranch	Jet_chFPV0EF	charged fromPV==0 Energy Fraction (energy excluded from CHS jets). Previously called betastar. : 0 at: 0x519c350
 OBJ: TBranch	Jet_chFPV1EF	charged fromPV==1 Energy Fraction (component of the total charged Energy Fraction). : 0 at: 0x519e060
 OBJ: TBranch	Jet_chFPV2EF	charged fromPV==2 Energy Fraction (component of the total charged Energy Fraction). : 0 at: 0x519fd70
 OBJ: TBranch	Jet_chFPV3EF	charged fromPV==3 Energy Fraction (component of the total charged Energy Fraction). : 0 at: 0x51a1a80
 OBJ: TBranch	Jet_chHEF	charged Hadron Energy Fraction : 0 at: 0x51a3790
 OBJ: TBranch	Jet_eta	eta : 0 at: 0x51a5450
 OBJ: TBranch	Jet_mass	mass : 0 at: 0x51a70e0
 OBJ: TBranch	Jet_muEF	muon Energy Fraction : 0 at: 0x51a8d70
 OBJ: TBranch	Jet_muonSubtrFactor	1-(muon-subtracted raw pt)/(raw pt) : 0 at: 0x51aaa30
 OBJ: TBranch	Jet_neEmEF	neutral Electromagnetic Energy Fraction : 0 at: 0x51ac790
 OBJ: TBranch	Jet_neHEF	neutral Hadron Energy Fraction : 0 at: 0x51ae490
 OBJ: TBranch	Jet_phi	phi : 0 at: 0x51b0170
 OBJ: TBranch	Jet_pt	pt : 0 at: 0x51b1e00
 OBJ: TBranch	Jet_puIdDisc	Pilup ID discriminant with 102X (2018) training : 0 at: 0x51b3a90
 OBJ: TBranch	Jet_qgl	Quark vs Gluon likelihood discriminator : 0 at: 0x51b5790
 OBJ: TBranch	Jet_rawFactor	1 - Factor to get back to raw pT : 0 at: 0x51b7460
 OBJ: TBranch	Jet_bRegCorr	pt correction for b-jet energy regression : 0 at: 0x51b9160
 OBJ: TBranch	Jet_bRegRes	res on pt corrected with b-jet regression : 0 at: 0x51bae60
 OBJ: TBranch	Jet_cRegCorr	pt correction for c-jet energy regression : 0 at: 0x51bcb60
 OBJ: TBranch	Jet_cRegRes	res on pt corrected with c-jet regression : 0 at: 0x51be860
 OBJ: TBranch	Jet_electronIdx1	index of first matching electron : 0 at: 0x51c0560
 OBJ: TBranch	Jet_electronIdx2	index of second matching electron : 0 at: 0x51c22c0
 OBJ: TBranch	Jet_jetId	Jet ID flags bit1 is loose (always false in 2017 since it does not exist), bit2 is tight, bit3 is tightLepVeto : 0 at: 0x51c4020
 OBJ: TBranch	Jet_muonIdx1	index of first matching muon : 0 at: 0x51c5d50
 OBJ: TBranch	Jet_muonIdx2	index of second matching muon : 0 at: 0x51c7a40
 OBJ: TBranch	Jet_nConstituents	Number of particles in the jet : 0 at: 0x51c9730
 OBJ: TBranch	Jet_nElectrons	number of electrons in the jet : 0 at: 0x51cb480
 OBJ: TBranch	Jet_nMuons	number of muons in the jet : 0 at: 0x51cd170
 OBJ: TBranch	Jet_puId	Pilup ID flags with 80X (2016) training : 0 at: 0x51cee60
 OBJ: TBranch	MET_MetUnclustEnUpDeltaX	Delta (METx_mod-METx) Unclustered Energy Up : 0 at: 0x51d0b30
 OBJ: TBranch	MET_MetUnclustEnUpDeltaY	Delta (METy_mod-METy) Unclustered Energy Up : 0 at: 0x51d1e50
 OBJ: TBranch	MET_covXX	xx element of met covariance matrix : 0 at: 0x51d3170
 OBJ: TBranch	MET_covXY	xy element of met covariance matrix : 0 at: 0x4cca1e0
 OBJ: TBranch	MET_covYY	yy element of met covariance matrix : 0 at: 0x4ccb470
 OBJ: TBranch	MET_phi	phi : 0 at: 0x4ccc700
 OBJ: TBranch	MET_pt	pt : 0 at: 0x4ccd950
 OBJ: TBranch	MET_significance	MET significance : 0 at: 0x4cceba0
 OBJ: TBranch	MET_sumEt	scalar sum of Et : 0 at: 0x51e0050
 OBJ: TBranch	MET_sumPtUnclustered	sumPt used for MET significance : 0 at: 0x51e1240
 OBJ: TBranch	nMuon	slimmedMuons after basic selection (pt > 3 && (passed('CutBasedIdLoose') || passed('SoftCutBasedId') || passed('SoftMvaId') || passed('CutBasedIdGlobalHighPt') || passed('CutBasedIdTrkHighPt'))) : 0 at: 0x51e2550
 OBJ: TBranch	Muon_dxy	dxy (with sign) wrt first PV, in cm : 0 at: 0x51e3880
 OBJ: TBranch	Muon_dxyErr	dxy uncertainty, in cm : 0 at: 0x51e58a0
 OBJ: TBranch	Muon_dxybs	dxy (with sign) wrt the beam spot, in cm : 0 at: 0x51e78c0
 OBJ: TBranch	Muon_dz	dz (with sign) wrt first PV, in cm : 0 at: 0x51e98f0
 OBJ: TBranch	Muon_dzErr	dz uncertainty, in cm : 0 at: 0x51eb8f0
 OBJ: TBranch	Muon_eta	eta : 0 at: 0x51ed910
 OBJ: TBranch	Muon_ip3d	3D impact parameter wrt first PV, in cm : 0 at: 0x51ef8f0
 OBJ: TBranch	Muon_jetPtRelv2	Relative momentum of the lepton with respect to the closest jet after subtracting the lepton : 0 at: 0x51f1920
 OBJ: TBranch	Muon_jetRelIso	Relative isolation in matched jet (1/ptRatio-1, pfRelIso04_all if no matched jet) : 0 at: 0x51f39c0
 OBJ: TBranch	Muon_mass	mass : 0 at: 0x51f5a20
 OBJ: TBranch	Muon_miniPFRelIso_all	mini PF relative isolation, total (with scaled rho*EA PU corrections) : 0 at: 0x51f7a10
 OBJ: TBranch	Muon_miniPFRelIso_chg	mini PF relative isolation, charged component : 0 at: 0x51f9ac0
 OBJ: TBranch	Muon_pfRelIso03_all	PF relative isolation dR=0.3, total (deltaBeta corrections) : 0 at: 0x51fbb50
 OBJ: TBranch	Muon_pfRelIso03_chg	PF relative isolation dR=0.3, charged component : 0 at: 0x51fdbf0
 OBJ: TBranch	Muon_pfRelIso04_all	PF relative isolation dR=0.4, total (deltaBeta corrections) : 0 at: 0x51ffc80
 OBJ: TBranch	Muon_phi	phi : 0 at: 0x5201d20
 OBJ: TBranch	Muon_pt	pt : 0 at: 0x5203d00
 OBJ: TBranch	Muon_ptErr	ptError of the muon track : 0 at: 0x5205cc0
 OBJ: TBranch	Muon_segmentComp	muon segment compatibility : 0 at: 0x5207ce0
 OBJ: TBranch	Muon_sip3d	3D impact parameter significance wrt first PV : 0 at: 0x5209d60
 OBJ: TBranch	Muon_softMva	soft MVA ID score : 0 at: 0x520bd90
 OBJ: TBranch	Muon_tkRelIso	Tracker-based relative isolation dR=0.3 for highPt, trkIso/tunePpt : 0 at: 0x520ddb0
 OBJ: TBranch	Muon_tunepRelPt	TuneP relative pt, tunePpt/pt : 0 at: 0x520fe00
 OBJ: TBranch	Muon_mvaLowPt	Low pt muon ID score : 0 at: 0x5211e60
 OBJ: TBranch	Muon_mvaTTH	TTH MVA lepton ID score : 0 at: 0x5213e80
 OBJ: TBranch	Muon_charge	electric charge : 0 at: 0x5215ea0
 OBJ: TBranch	Muon_jetIdx	index of the associated jet (-1 if none) : 0 at: 0x5217eb0
 OBJ: TBranch	Muon_nStations	number of matched stations with default arbitration (segment & track) : 0 at: 0x5219ee0
 OBJ: TBranch	Muon_nTrackerLayers	number of layers in the tracker : 0 at: 0x521bf30
 OBJ: TBranch	Muon_pdgId	PDG code assigned by the event reconstruction (not by MC truth) : 0 at: 0x521dfb0
 OBJ: TBranch	Muon_tightCharge	Tight charge criterion using pterr/pt of muonBestTrack (0:fail, 2:pass) : 0 at: 0x521fff0
 OBJ: TBranch	Muon_fsrPhotonIdx	Index of the associated FSR photon : 0 at: 0x52220a0
 OBJ: TBranch	Muon_highPtId	high-pT cut-based ID (1 = tracker high pT, 2 = global high pT, which includes tracker high pT) : 0 at: 0x5224130
 OBJ: TBranch	Muon_highPurity	inner track is high purity : 0 at: 0x5226180
 OBJ: TBranch	Muon_inTimeMuon	inTimeMuon ID : 0 at: 0x52281d0
 OBJ: TBranch	Muon_isGlobal	muon is global muon : 0 at: 0x522a1f0
 OBJ: TBranch	Muon_isPFcand	muon is PF candidate : 0 at: 0x522c200
 OBJ: TBranch	Muon_isTracker	muon is tracker muon : 0 at: 0x522e210
 OBJ: TBranch	Muon_looseId	muon is loose muon : 0 at: 0x5230220
 OBJ: TBranch	Muon_mediumId	cut-based ID, medium WP : 0 at: 0x5232230
 OBJ: TBranch	Muon_mediumPromptId	cut-based ID, medium prompt WP : 0 at: 0x5234240
 OBJ: TBranch	Muon_miniIsoId	MiniIso ID from miniAOD selector (1=MiniIsoLoose, 2=MiniIsoMedium, 3=MiniIsoTight, 4=MiniIsoVeryTight) : 0 at: 0x52362b0
 OBJ: TBranch	Muon_multiIsoId	MultiIsoId from miniAOD selector (1=MultiIsoLoose, 2=MultiIsoMedium) : 0 at: 0x5238310
 OBJ: TBranch	Muon_mvaId	Mva ID from miniAOD selector (1=MvaLoose, 2=MvaMedium, 3=MvaTight) : 0 at: 0x523a390
 OBJ: TBranch	Muon_pfIsoId	PFIso ID from miniAOD selector (1=PFIsoVeryLoose, 2=PFIsoLoose, 3=PFIsoMedium, 4=PFIsoTight, 5=PFIsoVeryTight, 6=PFIsoVeryVeryTight) : 0 at: 0x523c3d0
 OBJ: TBranch	Muon_softId	soft cut-based ID : 0 at: 0x523e450
 OBJ: TBranch	Muon_softMvaId	soft MVA ID : 0 at: 0x5240460
 OBJ: TBranch	Muon_tightId	cut-based ID, tight WP : 0 at: 0x5242440
 OBJ: TBranch	Muon_tkIsoId	TkIso ID (1=TkIsoLoose, 2=TkIsoTight) : 0 at: 0x5244450
 OBJ: TBranch	Muon_triggerIdLoose	TriggerIdLoose ID : 0 at: 0x5246470
 OBJ: TBranch	nPhoton	slimmedPhotons after basic selection (pt > 5 ) : 0 at: 0x52484e0
 OBJ: TBranch	Photon_eCorr	ratio of the calibrated energy/miniaod energy : 0 at: 0x5249770
