OBJ: TObjArray	TObjArray	An array of objects : 0
 OBJ: TBranch	run	run/i : 0 at: 0x5065e60
 OBJ: TBranch	luminosityBlock	luminosityBlock/i : 0 at: 0x506fe80
 OBJ: TBranch	event	event/l : 0 at: 0x5071090
 OBJ: TBranch	CaloMET_phi	phi : 0 at: 0x5074320
 OBJ: TBranch	CaloMET_pt	pt : 0 at: 0x5077480
 OBJ: TBranch	CaloMET_sumEt	scalar sum of Et : 0 at: 0x5078690
 OBJ: TBranch	ChsMET_phi	raw chs PF MET phi : 0 at: 0x50798a0
 OBJ: TBranch	ChsMET_pt	raw chs PF MET pt : 0 at: 0x507aab0
 OBJ: TBranch	ChsMET_sumEt	raw chs PF scalar sum of Et : 0 at: 0x507bcc0
 OBJ: TBranch	nCorrT1METJet	Additional low-pt jets for Type-1 MET re-correction : 0 at: 0x507cf00
 OBJ: TBranch	CorrT1METJet_area	jet catchment area, for JECs : 0 at: 0x507e160
 OBJ: TBranch	CorrT1METJet_eta	eta : 0 at: 0x50801c0
 OBJ: TBranch	CorrT1METJet_muonSubtrFactor	1-(muon-subtracted raw pt)/(raw pt) : 0 at: 0x50821e0
 OBJ: TBranch	CorrT1METJet_phi	phi : 0 at: 0x5084250
 OBJ: TBranch	CorrT1METJet_rawPt	pt()*jecFactor('Uncorrected') : 0 at: 0x5086270
 OBJ: TBranch	nElectron	slimmedElectrons after basic selection (pt > 5 ) : 0 at: 0x50882d0
 OBJ: TBranch	Electron_deltaEtaSC	delta eta (SC,ele) with sign : 0 at: 0x5089530
 OBJ: TBranch	Electron_dr03EcalRecHitSumEt	Non-PF Ecal isolation within a delta R cone of 0.3 with electron pt > 35 GeV : 0 at: 0x508b590
 OBJ: TBranch	Electron_dr03HcalDepth1TowerSumEt	Non-PF Hcal isolation within a delta R cone of 0.3 with electron pt > 35 GeV : 0 at: 0x508d630
 OBJ: TBranch	Electron_dr03TkSumPt	Non-PF track isolation within a delta R cone of 0.3 with electron pt > 35 GeV : 0 at: 0x508f6f0
 OBJ: TBranch	Electron_dr03TkSumPtHEEP	Non-PF track isolation within a delta R cone of 0.3 with electron pt > 35 GeV used in HEEP ID : 0 at: 0x5091780
 OBJ: TBranch	Electron_dxy	dxy (with sign) wrt first PV, in cm : 0 at: 0x5093830
 OBJ: TBranch	Electron_dxyErr	dxy uncertainty, in cm : 0 at: 0x5095840
 OBJ: TBranch	Electron_dz	dz (with sign) wrt first PV, in cm : 0 at: 0x5097840
 OBJ: TBranch	Electron_dzErr	dz uncertainty, in cm : 0 at: 0x5099850
 OBJ: TBranch	Electron_eCorr	ratio of the calibrated energy/miniaod energy : 0 at: 0x509b850
 OBJ: TBranch	Electron_eInvMinusPInv	1/E_SC - 1/p_trk : 0 at: 0x509d860
 OBJ: TBranch	Electron_energyErr	energy error of the cluster-track combination : 0 at: 0x509f8d0
 OBJ: TBranch	Electron_eta	eta : 0 at: 0x50a1940
 OBJ: TBranch	Electron_hoe	H over E : 0 at: 0x50a3910
 OBJ: TBranch	Electron_ip3d	3D impact parameter wrt first PV, in cm : 0 at: 0x50a58e0
 OBJ: TBranch	Electron_jetPtRelv2	Relative momentum of the lepton with respect to the closest jet after subtracting the lepton : 0 at: 0x50a78f0
 OBJ: TBranch	Electron_jetRelIso	Relative isolation in matched jet (1/ptRatio-1, pfRelIso04_all if no matched jet) : 0 at: 0x50a9990
 OBJ: TBranch	Electron_mass	mass : 0 at: 0x50aba30
 OBJ: TBranch	Electron_miniPFRelIso_all	mini PF relative isolation, total (with scaled rho*EA PU corrections) : 0 at: 0x50ada00
 OBJ: TBranch	Electron_miniPFRelIso_chg	mini PF relative isolation, charged component : 0 at: 0x50afaa0
 OBJ: TBranch	Electron_mvaFall17V1Iso	MVA Iso ID V1 score : 0 at: 0x50b1b20
 OBJ: TBranch	Electron_mvaFall17V1noIso	MVA noIso ID V1 score : 0 at: 0x50b3b90
